Timestamp,ESC_0_RPM,ESC_1_RPM,ESC_2_RPM,ESC_3_RPM,ESC_4_RPM,ESC_5_RPM,ESC_6_RPM,ESC_7_RPM
136788000,760,778,761,773,0,0,0,0
137036000,764,772,765,768,0,0,0,0
137284000,756,780,759,775,0,0,0,0
137536000,758,776,761,773,0,0,0,0
137788000,757,775,760,771,0,0,0,0
138036000,760,769,763,766,0,0,0,0
138288000,755,780,759,776,0,0,0,0
138536000,760,778,763,775,0,0,0,0
138788000,759,778,764,775,0,0,0,0
139036000,763,772,766,768,0,0,0,0
139288000,761,785,762,780,0,0,0,0
139536000,762,781,763,774,0,0,0,0
139788000,763,782,763,775,0,0,0,0
140036000,765,774,766,768,0,0,0,0
140288000,756,780,758,777,0,0,0,0
140536000,757,776,761,772,0,0,0,0
140788000,755,773,759,769,0,0,0,0
141036000,761,769,763,765,0,0,0,0
141288000,755,780,757,775,0,0,0,0
141536000,760,778,762,773,0,0,0,0
141788000,760,777,762,773,0,0,0,0
142036000,764,772,767,769,0,0,0,0
142288000,757,781,759,777,0,0,0,0
142532000,761,774,767,767,0,0,0,0
142788000,757,780,756,784,0,0,0,0
143036000,762,776,770,775,0,0,0,0
143288000,764,782,769,780,0,0,0,0
143536000,769,782,770,778,0,0,0,0
143788000,764,776,769,776,0,0,0,0
144036000,767,776,774,777,0,0,0,0
144288000,765,781,773,778,0,0,0,0
144532000,776,783,765,771,0,0,0,0
144788000,778,784,760,766,0,0,0,0
145036000,762,778,759,765,0,0,0,0
145288000,664,647,864,869,0,0,0,0
145532000,632,643,876,879,0,0,0,0
145788000,698,707,836,844,0,0,0,0
146036000,748,771,799,782,0,0,0,0
146284000,780,777,764,768,0,0,0,0
146536000,776,794,736,776,0,0,0,0
146788000,773,785,778,777,0,0,0,0
147036000,787,775,791,778,0,0,0,0
147288000,837,857,717,717,0,0,0,0
147536000,871,873,674,672,0,0,0,0
147788000,813,828,709,714,0,0,0,0
148036000,773,771,760,766,0,0,0,0
148284000,720,775,780,806,0,0,0,0
148536000,735,756,793,803,0,0,0,0
148788000,746,764,783,794,0,0,0,0
149036000,759,767,773,774,0,0,0,0
149284000,757,781,756,772,0,0,0,0
149532000,767,785,761,771,0,0,0,0
149788000,763,780,758,766,0,0,0,0
150036000,763,773,761,764,0,0,0,0
150288000,756,781,758,774,0,0,0,0
150536000,760,778,762,773,0,0,0,0
150788000,759,778,763,773,0,0,0,0
151036000,766,776,769,771,0,0,0,0
151288000,759,784,762,780,0,0,0,0
151536000,758,778,762,773,0,0,0,0
151784000,755,783,759,778,0,0,0,0
152036000,765,774,768,768,0,0,0,0
152288000,757,782,758,776,0,0,0,0
152532000,759,776,761,771,0,0,0,0
152788000,757,777,760,771,0,0,0,0
153036000,763,773,766,767,0,0,0,0
153284000,756,781,759,775,0,0,0,0
153536000,756,774,758,769,0,0,0,0
153788000,756,774,759,769,0,0,0,0
154032000,755,771,758,766,0,0,0,0
154288000,752,778,755,773,0,0,0,0
154532000,757,775,759,769,0,0,0,0
154788000,761,780,763,774,0,0,0,0
155036000,769,777,770,773,0,0,0,0
155284000,759,783,761,778,0,0,0,0
155536000,763,780,766,777,0,0,0,0
155788000,758,777,761,773,0,0,0,0
156036000,763,771,765,767,0,0,0,0
156284000,753,778,755,773,0,0,0,0
156532000,760,777,762,773,0,0,0,0
156788000,759,777,762,774,0,0,0,0
157036000,760,769,765,767,0,0,0,0
157288000,756,781,758,776,0,0,0,0
157536000,756,775,759,770,0,0,0,0
157788000,758,775,759,770,0,0,0,0
158036000,763,772,766,768,0,0,0,0
158284000,761,768,765,764,0,0,0,0
158532000,763,781,767,776,0,0,0,0
158788000,765,784,764,778,0,0,0,0
159036000,771,784,773,778,0,0,0,0
159288000,766,782,770,781,0,0,0,0
159536000,763,776,771,778,0,0,0,0
159788000,753,775,761,779,0,0,0,0
160036000,778,756,775,763,0,0,0,0
160288000,763,778,757,768,0,0,0,0
160532000,688,676,840,853,0,0,0,0
160784000,632,650,877,886,0,0,0,0
161036000,692,709,841,841,0,0,0,0
161284000,732,759,796,789,0,0,0,0
161536000,889,897,654,661,0,0,0,0
161788000,875,886,665,657,0,0,0,0
162036000,839,834,728,729,0,0,0,0
162288000,762,777,762,783,0,0,0,0
162532000,727,747,790,796,0,0,0,0
162788000,721,752,784,803,0,0,0,0
163036000,744,757,782,786,0,0,0,0
163288000,750,775,762,779,0,0,0,0
163536000,764,783,760,771,0,0,0,0
163788000,768,786,759,769,0,0,0,0
164036000,770,779,764,764,0,0,0,0
164284000,760,783,757,774,0,0,0,0
164536000,759,778,761,772,0,0,0,0
164788000,755,773,759,769,0,0,0,0
165036000,761,770,766,768,0,0,0,0
165288000,754,779,759,776,0,0,0,0
165532000,763,782,767,777,0,0,0,0
165788000,763,781,766,776,0,0,0,0
166036000,765,775,767,769,0,0,0,0
166288000,759,784,761,778,0,0,0,0
166536000,761,779,762,774,0,0,0,0
166788000,760,779,762,774,0,0,0,0
167036000,762,771,764,767,0,0,0,0
167288000,753,778,756,773,0,0,0,0
167532000,757,774,759,770,0,0,0,0
167788000,756,774,759,769,0,0,0,0
168036000,759,767,761,763,0,0,0,0
168288000,756,780,758,775,0,0,0,0
168536000,761,780,763,774,0,0,0,0
168788000,759,777,762,772,0,0,0,0
169036000,765,773,767,768,0,0,0,0
169288000,758,783,761,779,0,0,0,0
169536000,760,778,763,774,0,0,0,0
169788000,757,775,759,771,0,0,0,0
170036000,763,772,766,767,0,0,0,0
170288000,755,780,758,775,0,0,0,0
170532000,760,777,762,772,0,0,0,0
170788000,759,776,760,772,0,0,0,0
171036000,764,773,767,768,0,0,0,0
